image,class,confidence,severity,area_%
Hefei10002.jpg,crack,0.8069,LOW,3.2
Hefei10002.jpg,crack,0.648,LOW,3.48
Hefei10002.jpg,crack,0.6094,LOW,1.56
Hefei10002.jpg,crack,0.5566,LOW,0.24
Hefei10002.jpg,crack,0.4831,LOW,1.74
Hefei10002.jpg,crack,0.4154,HIGH,1.39
Hefei10002.jpg,crack,0.3907,HIGH,0.35
Hefei10002.jpg,crack,0.3578,HIGH,2.31
Hefei10002.jpg,crack,0.288,HIGH,1.13
Hefei10005.jpg,crack,0.8034,LOW,3.15
Hefei10005.jpg,crack,0.7849,LOW,3.25
Hefei10005.jpg,crack,0.639,LOW,1.85
Hefei10005.jpg,crack,0.5454,LOW,0.26
Hefei10005.jpg,crack,0.4721,LOW,0.86
Hefei10005.jpg,crack,0.4548,LOW,2.81
Hefei10005.jpg,crack,0.3772,HIGH,1.4
Hefei10005.jpg,crack,0.3081,HIGH,0.39
Hefei10005.jpg,crack,0.2962,HIGH,0.53
Hefei10005.jpg,crack,0.2918,HIGH,2.44
Hefei10005.jpg,crack,0.2699,HIGH,1.11
Hefei10005.jpg,crack,0.2546,HIGH,0.38
Hefei10013.jpg,crack,0.7978,LOW,3.42
Hefei10013.jpg,crack,0.7974,LOW,3.04
Hefei10013.jpg,crack,0.6402,LOW,1.88
Hefei10013.jpg,crack,0.4825,LOW,0.25
Hefei10013.jpg,crack,0.4775,LOW,2.66
Hefei10013.jpg,crack,0.4328,HIGH,1.55
Hefei10013.jpg,crack,0.3981,HIGH,2.18
Hefei10013.jpg,crack,0.3669,HIGH,1.32
Hefei10013.jpg,crack,0.3078,HIGH,1.03
Hefei10013.jpg,crack,0.2856,HIGH,0.35
Hefei10013.jpg,crack,0.2602,HIGH,2.56
Hefei10021.jpg,crack,0.7959,LOW,3.06
Hefei10021.jpg,crack,0.5721,LOW,0.25
Hefei10021.jpg,crack,0.4468,HIGH,0.35
Hefei10021.jpg,crack,0.4431,HIGH,2.36
Hefei10021.jpg,crack,0.4025,HIGH,0.43
Hefei10021.jpg,crack,0.3234,HIGH,1.75
Hefei10021.jpg,crack,0.3225,HIGH,1.54
Hefei10029.jpg,crack,0.8099,LOW,2.98
