epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.447,2.77453,2.6694,1.94718,0.31689,0.27351,0.19041,0.07115,2.94582,2.72499,2.08939,0.000333103,0.000333103,0.0670228
2,1192.16,2.6411,2.34739,1.87564,0.38078,0.37985,0.3131,0.11578,2.68674,2.33078,1.90135,0.000659839,0.000659839,0.0340162
3,1762.4,2.54513,2.16588,1.80328,0.45563,0.42443,0.40143,0.16464,2.63388,1.85598,1.82817,0.000979974,0.000979974,0.00100301
4,2340.1,2.48493,2.01583,1.75481,0.57829,0.48037,0.49974,0.19738,2.49679,1.84836,1.78055,0.0009703,0.0009703,0.0009703
5,2916.73,2.40338,1.85822,1.6967,0.53488,0.5326,0.51539,0.21006,2.43445,1.64688,1.73932,0.0009604,0.0009604,0.0009604
6,3491.66,2.35942,1.77629,1.66836,0.62888,0.52496,0.57425,0.25201,2.37891,1.51503,1.66876,0.0009505,0.0009505,0.0009505
7,4085.48,2.31881,1.68604,1.64488,0.65747,0.5759,0.62584,0.28166,2.33584,1.438,1.64682,0.0009406,0.0009406,0.0009406
8,4676.58,2.29312,1.62511,1.62104,0.72343,0.5945,0.67006,0.29765,2.329,1.37722,1.64706,0.0009307,0.0009307,0.0009307
9,5252.31,2.2637,1.57668,1.6045,0.69783,0.62279,0.67242,0.30107,2.31865,1.31665,1.62499,0.0009208,0.0009208,0.0009208
10,5828.25,2.23812,1.53594,1.59323,0.68948,0.65468,0.68789,0.31642,2.24356,1.32072,1.60326,0.0009109,0.0009109,0.0009109
11,6404.39,2.21277,1.4924,1.58196,0.71378,0.69815,0.73257,0.33467,2.25039,1.22003,1.58928,0.000901,0.000901,0.000901
12,7008.75,2.19853,1.45112,1.56403,0.74199,0.67697,0.74259,0.3463,2.22929,1.18409,1.57401,0.0008911,0.0008911,0.0008911
13,7585.36,2.17375,1.40673,1.54843,0.72817,0.67148,0.73299,0.34608,2.19858,1.18302,1.55771,0.0008812,0.0008812,0.0008812
14,8162.41,2.16294,1.38921,1.53754,0.74543,0.69867,0.74208,0.34617,2.20174,1.1387,1.56327,0.0008713,0.0008713,0.0008713
15,8738.27,2.14314,1.36255,1.52943,0.75337,0.68881,0.75127,0.3607,2.18904,1.16304,1.55934,0.0008614,0.0008614,0.0008614
16,9316.93,2.13387,1.34012,1.51832,0.76833,0.70819,0.77588,0.37037,2.17309,1.09869,1.54891,0.0008515,0.0008515,0.0008515
17,9893.02,2.1143,1.31204,1.51225,0.77596,0.7068,0.77728,0.37851,2.14368,1.08218,1.53015,0.0008416,0.0008416,0.0008416
18,10466.8,2.10241,1.29157,1.50155,0.79053,0.72472,0.79288,0.38484,2.14498,1.05178,1.53443,0.0008317,0.0008317,0.0008317
19,11042.8,2.09567,1.27258,1.49866,0.80344,0.71185,0.79219,0.3872,2.13343,1.03299,1.51365,0.0008218,0.0008218,0.0008218
20,11618.8,2.09564,1.26294,1.49223,0.79331,0.74575,0.79901,0.39688,2.10053,1.04457,1.50854,0.0008119,0.0008119,0.0008119
21,12193.1,2.08259,1.25561,1.49061,0.81434,0.74793,0.81534,0.40389,2.1222,1.00466,1.50839,0.000802,0.000802,0.000802
22,12767.7,2.06487,1.2307,1.47771,0.81171,0.76033,0.81722,0.41182,2.0898,1.0032,1.49497,0.0007921,0.0007921,0.0007921
23,13342.2,2.05084,1.20647,1.4683,0.82698,0.73957,0.81327,0.40809,2.09771,0.98237,1.482,0.0007822,0.0007822,0.0007822
24,13915.8,2.05389,1.21068,1.47198,0.82457,0.76096,0.82679,0.42056,2.06648,0.96373,1.47493,0.0007723,0.0007723,0.0007723
25,14490.6,2.03979,1.19491,1.47135,0.82473,0.76003,0.83648,0.42491,2.06733,0.95381,1.47309,0.0007624,0.0007624,0.0007624
26,15064.9,2.02271,1.17832,1.45884,0.80557,0.76946,0.82978,0.42741,2.05659,0.9526,1.46807,0.0007525,0.0007525,0.0007525
27,15639.5,2.02428,1.16231,1.45382,0.82178,0.76933,0.83752,0.42175,2.06451,0.95137,1.46929,0.0007426,0.0007426,0.0007426
28,16214.2,2.01593,1.15681,1.45129,0.84016,0.77878,0.85045,0.44105,2.04226,0.92948,1.45717,0.0007327,0.0007327,0.0007327
29,16788.8,2.0043,1.1433,1.44616,0.82424,0.77912,0.8387,0.43671,2.02542,0.9318,1.44936,0.0007228,0.0007228,0.0007228
30,17363.1,1.99624,1.13349,1.44266,0.83967,0.78663,0.84816,0.43472,2.04081,0.91904,1.46023,0.0007129,0.0007129,0.0007129
31,17937.4,1.99509,1.11972,1.4349,0.8364,0.77707,0.84734,0.44231,2.0154,0.90686,1.43761,0.000703,0.000703,0.000703
32,18513.8,1.993,1.11654,1.43183,0.82751,0.79258,0.85247,0.43848,2.02829,0.90862,1.44552,0.0006931,0.0006931,0.0006931
33,19092.9,1.9731,1.1022,1.42686,0.84632,0.795,0.85718,0.44632,2.02321,0.88668,1.43827,0.0006832,0.0006832,0.0006832
34,19679,1.96582,1.09016,1.419,0.85464,0.78858,0.86012,0.45653,2.0021,0.89263,1.42894,0.0006733,0.0006733,0.0006733
35,20263.3,1.95828,1.08348,1.41472,0.8337,0.78919,0.85833,0.45146,2.00807,0.88489,1.43394,0.0006634,0.0006634,0.0006634
36,20847.7,1.95559,1.0818,1.41576,0.83211,0.80529,0.86418,0.45552,2.00136,0.87114,1.43222,0.0006535,0.0006535,0.0006535
37,21433,1.94683,1.06494,1.40703,0.8474,0.80747,0.86865,0.46055,1.98537,0.86382,1.42758,0.0006436,0.0006436,0.0006436
38,22018.8,1.94333,1.06255,1.40481,0.84084,0.79943,0.86761,0.45924,1.98996,0.86018,1.42222,0.0006337,0.0006337,0.0006337
39,22598.6,1.94316,1.06258,1.40417,0.84441,0.79977,0.8668,0.46537,1.97813,0.85598,1.41389,0.0006238,0.0006238,0.0006238
40,23173.6,1.93583,1.05452,1.39871,0.84349,0.80407,0.87276,0.46147,1.98842,0.84977,1.42036,0.0006139,0.0006139,0.0006139
41,23752.6,1.92856,1.03742,1.39835,0.85744,0.8014,0.87146,0.47091,1.97405,0.84321,1.41165,0.000604,0.000604,0.000604
42,24328.5,1.91971,1.03968,1.39133,0.85115,0.7977,0.86887,0.47091,1.97237,0.83891,1.41072,0.0005941,0.0005941,0.0005941
43,24902.4,1.92267,1.03016,1.39514,0.85645,0.80772,0.87532,0.47809,1.97576,0.82897,1.4065,0.0005842,0.0005842,0.0005842
44,25476.4,1.91122,1.02213,1.38364,0.85879,0.80084,0.87507,0.4764,1.96665,0.82617,1.40325,0.0005743,0.0005743,0.0005743
